LINE_NAME,trait,num_value
DKC3888,DCW_BLUP,-1.04912568
DKC5685WX,DCW_BLUP,
EV3732,DCW_BLUP,
DKC6402,DCW_BLUP,
EY3438,DCW_BLUP,0.13223273
DKC4897,DCW_BLUP,
DKC5068,DCW_BLUP,
ABEONIA,DCW_BLUP,
MOGABRIX,DCW_BLUP,
EY3435,DCW_BLUP,0.40216324
AUXKAR,DCW_BLUP,
DKC6980YG,DCW_BLUP,
GIUNONE,DCW_BLUP,
EZ3958,DCW_BLUP,
DKC4933,DCW_BLUP,
ET3822,DCW_BLUP,
EY4685,DCW_BLUP,
EY4940,DCW_BLUP,
SHEILA,DCW_BLUP,
EY4574,DCW_BLUP,
EZ3553,DCW_BLUP,
ET4442,DCW_BLUP,
INTERACTIS,DCW_BLUP,
EU4447,DCW_BLUP,
DKC3361,DCW_BLUP,
EZ5761,DCW_BLUP,
DKC3450,DCW_BLUP,-0.69853077
EY3538,DCW_BLUP,0.15620598
DKC3724,DCW_BLUP,0.29078165
EY5324,DCW_BLUP,
EZ2978,DCW_BLUP,-0.23115598
EZ2981,DCW_BLUP,
DKC4621,DCW_BLUP,
DKC3789,DCW_BLUP,
EZ3965,DCW_BLUP,
BAZALTIK,DCW_BLUP,
DKC4943,DCW_BLUP,
DKC4125,DCW_BLUP,
EZ3961,DCW_BLUP,
EV6321,DCW_BLUP,
EW4929,DCW_BLUP,-0.33042816
EY6943,DCW_BLUP,
EV5741,DCW_BLUP,
EX6018,DCW_BLUP,
EY3836,DCW_BLUP,
EZ5264,DCW_BLUP,
DKC6812,DCW_BLUP,
DKC6808,DCW_BLUP,
DKC5031WX,DCW_BLUP,
EU6643,DCW_BLUP,
EV4326,DCW_BLUP,
EW4931,DCW_BLUP,
EV5428,DCW_BLUP,
EV4142,DCW_BLUP,
EZ3849,DCW_BLUP,
EX4852,DCW_BLUP,
EZ3447,DCW_BLUP,-0.03066169
DKC6664,DCW_BLUP,
EX3190,DCW_BLUP,-0.32544034
EZ3757,DCW_BLUP,
EW2968,DCW_BLUP,-0.00831298
ZENANCE,DCW_BLUP,-0.05942233
EY5752,DCW_BLUP,
EY3744,DCW_BLUP,
EY3089,DCW_BLUP,0.02187696
EZ4065,DCW_BLUP,
STAROF,DCW_BLUP,
DKC6092,DCW_BLUP,
EX2975,DCW_BLUP,0.40220659
SPARKLING,DCW_BLUP,
C955,DCW_BLUP,
DKC3532,DCW_BLUP,-0.75171074
NT3512,DCW_BLUP,
EY3750,DCW_BLUP,0.2923027
EX5432,DCW_BLUP,
DKC4533,DCW_BLUP,
EZ2979,DCW_BLUP,
EP4115,DCW_BLUP,
EZ7117,DCW_BLUP,
DALAMER,DCW_BLUP,
DKC4069,DCW_BLUP,
EY4689,DCW_BLUP,
EY4335,DCW_BLUP,
EZ7039,DCW_BLUP,
EZ5159,DCW_BLUP,
EZ3208,DCW_BLUP,
EXTERION,DCW_BLUP,
EZ4692,DCW_BLUP,
ET3936,DCW_BLUP,
EX5637,DCW_BLUP,
EZ3549,DCW_BLUP,-0.93009153
EZ6771,DCW_BLUP,
IONITI,DCW_BLUP,
EX3831,DCW_BLUP,
EY6661,DCW_BLUP,
EX3742,DCW_BLUP,
DKC4908,DCW_BLUP,
EY4573,DCW_BLUP,
EZ3761,DCW_BLUP,
DKC4792,DCW_BLUP,
EY3432,DCW_BLUP,-0.15739917
EZ3344,DCW_BLUP,-0.01891346
EY6852,DCW_BLUP,
EX6759,DCW_BLUP,
EZ3548,DCW_BLUP,0.00519063
EY4575,DCW_BLUP,
EZ4860,DCW_BLUP,
DKC5812,DCW_BLUP,
DKC5206,DCW_BLUP,
ET4134,DCW_BLUP,
EZ3839,DCW_BLUP,-0.58915641
DKC3305,DCW_BLUP,-0.29949268
DKC4670,DCW_BLUP,
DKC3642,DCW_BLUP,0.25278
DKC4109WX,DCW_BLUP,
EZ3442,DCW_BLUP,0.03575481
DKC4751,DCW_BLUP,
DKC4728,DCW_BLUP,
ABADDIR,DCW_BLUP,
EV5153,DCW_BLUP,
EX6849,DCW_BLUP,
EZ4062,DCW_BLUP,
EY3535,DCW_BLUP,-0.03229854
CORTON,DCW_BLUP,
EY4159,DCW_BLUP,0.22521502
EZ4161,DCW_BLUP,
EZ3348,DCW_BLUP,-0.14140629
EY3336,DCW_BLUP,-0.62058146
DKC3730,DCW_BLUP,
ET7019KDDZ,DCW_BLUP,
PIANELLO,DCW_BLUP,
ES3932,DCW_BLUP,
EV6842,DCW_BLUP,
EXPERTIZE,DCW_BLUP,
ZORAN,DCW_BLUP,
DKC3601,DCW_BLUP,-0.09320837
DKC3595,DCW_BLUP,
DKC5209,DCW_BLUP,
DKC4540,DCW_BLUP,
DKC3414,DCW_BLUP,-0.00266909
DKC5142WX,DCW_BLUP,
GARGANTUA,DCW_BLUP,0.18133541
EZ5851,DCW_BLUP,
EZ5558,DCW_BLUP,
